delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
3363.8359185462314,98.24068581220558,9.599556087418978,14.279812126757738,5.4865248627722245,0.5795767383935158,0.30292827520930077,0.3221861051406023,1.151431878506417,1.0956052917473322,7167.957824719039,112.75347669459836,9.880115042838453,14.280151781837723,5.2221031680860674,6691.09248943079,114.00256852297953,11.921349922732928,16.32836123850037,6.351507801084267,2884.377108795573,89.76967757138043,9.800233400429258,15.568799556965242,5.8495709644432,2.4279331226272785,0.9230850258209675,0.7808673753351585,2.539777323411611,1.4810954150953264,2.1877259377438043,0.898080174322061,0.3824096209992664,0.19789808975339473,0.26576802196495236,1
11106.775122259438,65.44776793639961,18.02749892665454,16.832102431966035,7.193602982142334,0.6030366844272713,0.29857754820448656,0.3215235676884197,1.2833133381558561,1.0906917691201081,12930.656090540235,67.3308290176937,17.69228862591716,16.901103806879338,6.915586298475455,11375.595884842425,64.03146134799078,17.81719199089052,18.272935104991877,7.726529988652754,9050.932753400395,53.778855892366074,18.024749500003082,17.716815079084412,7.845494946593019,13.276215835014456,1.192051974024137,0.7994346584217172,2.613943047075104,1.5403820251619245,1.6915625236260066,0.7692680257773957,0.37994698092367046,0.20345557790412208,0.2624151723678005,1
59068.73565868461,1048.6498705873178,79.03765067062147,26.376652060258955,11.243441445469115,0.9916471658655648,0.37509659097225556,0.32214168535484117,1.3006319061744789,1.1453392983430868,56953.988730449455,977.5366292914713,90.13914989912378,35.89888406549943,9.544508333512756,48218.862676596014,852.1634851486805,90.99769677908452,38.68942067452654,10.191222545660235,45777.704407449964,817.4046073370259,73.7254952033478,29.382423213897464,9.99366576027372,203.84049018782886,8.529813009848114,1.6707831275954366,2.625021432025357,1.4562541312092374,5.834224914285684,1.5147709270248044,0.39212405920883053,0.22757347578646747,0.2669198806859456,1
28133.384028367444,49.61390309091768,13.745852607777511,17.7068523181686,9.769398844733118,0.49190278354504285,0.5835142627845993,0.3717749812079856,1.5402124396814554,1.4963803384023793,30915.368316769593,47.80250627204956,11.622654775640793,17.73927330250119,9.744122636487479,23801.57158646182,45.95198555235809,12.166844658158556,17.127550375630115,8.583851707341212,23106.586216581654,41.932128777146815,12.340307187107117,17.91263495117873,10.90329407635686,73.29404727445771,1.039861011562727,0.8750280854036413,2.753029744327565,1.570848029832041,4.588588265244124,1.0019225252619697,0.451628676613219,0.2312765300226044,0.2780813595744881,2
9764.259918698803,103.20451368553492,13.33296178497344,18.85530198322553,9.204882172912036,0.3907738073180392,0.5776236324511449,0.3083020060207332,1.4239302847491992,1.4122646783881148,10580.482436329608,111.59781242533408,12.066139254305936,18.31170150372696,8.916659186562294,8109.1032592441,99.84129945459105,13.211454329249017,19.563572161750052,8.248027637940526,7830.859933617491,90.98587916004189,12.596956476005921,20.893759905161208,10.321971442680512,13.7385472385762,1.2343581942035304,0.8828163264049484,2.535571853914039,1.5234249445872832,5.428072115235124,0.9617453434974045,0.4293908117631263,0.23763074913295235,0.27195203571337656,2
27074.031272561017,100.98262213844892,18.663408426733426,21.549486917628915,13.522391241217223,0.4747506945959931,0.5326239901578357,0.3392240271070274,1.4042204415283783,1.475102651773938,28742.91995487802,105.70392234345158,17.876715009493104,20.679995914195526,14.051606162960944,22429.894075078293,89.25417756299782,18.38112780768091,20.536037249245183,12.131719411659468,23615.863138392528,87.82383631688774,17.734230435911826,22.275688868154425,13.885216479942292,61.582860406141435,1.6823153474136896,0.9285420399461302,2.606205900973358,1.4906332544819076,4.510645652062443,1.264289130725505,0.40227479443052916,0.2310963228840947,0.27148123303251503,2
9211.422465459464,35.98799076064927,9.533516336967512,12.441275786277709,4.727086337131712,0.35425746800036106,0.6279420541793672,0.31720948992190806,1.2734951545571158,1.1888455198249692,10129.335301201334,31.604130887375227,7.9182960127452136,12.360140597299235,4.814895537648161,7961.385167783567,34.229500122189606,9.845408460331727,13.925665116148668,5.006176818722326,8234.545046781252,33.17456539164492,9.809020608035578,13.24478269629799,4.903994575792038,17.39469710753285,1.0269927220240964,0.8649778394075422,2.5635119209971733,1.5431615108637882,5.475989529112417,0.8399235215447866,0.400320908800748,0.24010285404601564,0.2758749150979905,3
7528.065513607239,40.12536184021536,11.004022012247482,15.030802736890767,5.16614791395924,0.33427490782882613,0.5718184751439107,0.3416496813344029,1.3809620782514946,1.2487932407422075,8120.388631351028,44.766602818145415,9.67720518255831,14.498764487703586,5.097911162018727,6324.834104920747,49.69558338588583,11.099967150168649,15.830429706222128,5.373089370682228,6471.223984724633,37.31179375184004,9.944228648516749,15.06431286038423,5.636397272022407,11.449237775417876,1.1272486711429788,0.9149154857092829,2.5863703363110266,1.6605006720638156,3.060445965454527,0.9300103858536091,0.38106779727295054,0.2442039177710838,0.2784985949821752,3
89.17059501143436,21.43177209928989,8.4715467876431,11.216694666789392,4.022903071036054,0.28438422129028545,0.6211048941164681,0.2827096351199473,1.3577542453767104,1.2739316828806433,112.9928251929148,25.893505089027485,7.806699333734539,10.974561828683283,3.8954193993230377,201.66673980269968,30.912126065753075,10.376764181062597,13.27299800104087,4.3886015598569,128.78924884305482,18.998355410198975,8.904458107903661,12.05813339584565,4.324079666987864,1.153980743705784,0.8949620477762374,0.8445394326311463,2.626925491380272,1.6816569647012258,2.003019700214458,0.7759868902882908,0.3566980068340869,0.2493300509038065,0.2801354941438405,3
2131.247476318139,19.154684671861897,8.825038818780074,12.5533681099466,4.499633997379064,2.3058322748135613,1.614024858275682,1.4199559162163442,5.2051179516588,3.1190012330858625,2637.922170912545,18.27630130036806,7.644039659460895,12.184348514705599,4.654675003217282,4205.047114426691,44.25286888611181,15.698982454205492,20.350191315856335,5.870143914204666,1583.8620051767643,16.803403920351816,8.44270096939959,13.307269535794305,4.7623162417164435,1.6060439951045515,0.6047786339181507,0.36337197167603164,0.8244877768988115,0.46294134785906554,6.995195078823735,0.8616190250865912,0.28111289397194367,0.33054016723238716,0.27028922271955436,1
2429.061741767397,17.662276208716644,8.115964260875018,12.291809377267695,4.342545744978177,2.2061820738178257,1.518649756836401,1.4400674925099104,5.022094031505614,2.871881768748972,1892.573166004195,17.91150109838913,6.606346697381479,12.310313825217715,4.675593471760934,3614.4687368047175,47.55372013449178,14.271587584083093,21.504624052762335,6.68417224281546,1732.1308976186838,16.680319782096106,7.859420410997528,13.227566954440743,4.8163955559808524,1.5776689539982238,0.7064023553803493,0.3872855078820082,0.921983889948341,0.4455854985194913,5.186844016162476,0.9465852281441405,0.3039056563007001,0.3134602966172673,0.27331754613967835,1
1671.0365944198784,20.110633732641393,7.297373921726623,11.804307822329905,4.403277218320959,1.6317147039329616,1.547447743350812,1.3572422469046113,5.248251233020211,3.0945559129508444,1811.1568862436475,20.288071364140706,6.272315180892255,11.835272724428357,4.257369679622081,3351.890659098894,40.587134618688275,12.660718723327337,20.678386402457075,6.631641702712792,1194.3712871566465,19.244830451384818,7.152060983945489,12.817859841126708,4.550476092389161,0.9432734615882986,0.4684605121642663,0.2675883249076381,0.5941798060193441,0.35871171019878223,10.668653044873171,0.6035260620550122,0.2497632546472055,0.26126421346278283,0.2749359187903315,1
