delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
501.6767195,88.08299756,71.23616526,83.94132543,36.9201799,640.7799927,91.86128904,67.91049826,88.89102711,21.91315261,604.660156,107.5685066,78.98501198,90.52877232,42.9145903,682.9970618,99.82026167,72.48060257,93.32500398,23.16130785,639.9734537,68.2617757,56.44109693,77.20563279,30.11904111,573.9144856,51.47679757,51.51096535,59.51335494,22.64455256,520.1485153,50.63509924,56.3064065,75.3031002,30.71425175,618.7520457,78.06999995,95.33345301,98.97667362,27.62361425,452.3242039,68.21815683,85.6458123,88.27129124,23.60805036,665.0457098,105.7442881,108.892325,124.5490464,31.3475712,718.2381336,127.2151855,100.4362767,120.7957385,24.7798468,655.2219089,123.0245561,86.50697409,96.64335794,21.51979879,542.9426442,99.05192483,79.94457172,92.76036888,18.84570316,446.0310961,85.94680931,75.7425453,78.75364899,29.73756993,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148.3745776,72.27341632,81.68134562,61.24440232,38.69950609,193.253043,62.85768268,80.00566013,64.44941269,19.66085547,169.8586561,74.33488156,87.98278134,65.68430571,43.92834559,173.8054139,67.78777667,86.92417926,68.102932,21.44701259,149.8746131,41.96371538,43.78068343,62.40023843,30.12074197,129.3133837,35.30415163,36.4349475,42.57332095,18.50430516,128.5650975,37.95254223,34.97907294,57.92066823,25.62946777,187.3414114,54.63317226,68.86672731,77.88864397,23.72368162,119.1389819,52.60580393,70.918657,72.30091078,21.33575056,158.1570998,73.59413758,89.83268153,103.3005417,28.65006455,196.7668762,83.82542885,105.1823971,99.63919652,25.02236447,296.6646331,89.75963175,97.398238,76.56160162,21.26011295,183.9044303,61.01578772,78.28492289,76.10656205,18.36460325,139.1724059,67.99950201,76.3446714,61.56549382,30.46690367,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.8589721,146.6357868,85.67078731,98.1550554,39.27413138,333.310627,164.0372669,87.21409842,104.2303311,23.19125325,438.7031228,160.501393,100.3724401,98.67197046,47.36772811,342.029362,168.5722992,96.99368636,107.5830997,25.22157751,297.8665467,153.6297073,65.10937502,95.18842897,32.07451887,261.2751383,144.2230176,55.26970902,72.33890461,22.65542481,257.8715526,147.554491,56.37377944,85.46010941,31.5939775,310.9824676,175.5411654,108.8135269,108.0718029,29.34221174,190.5751861,137.5664058,94.17775954,100.5027076,26.44224423,280.4386575,192.1191287,127.1329555,143.5152862,34.03940115,363.9307425,203.3666839,136.4622857,136.3181146,27.99062961,332.8108081,171.4958169,113.5143558,109.699921,23.85579035,282.9354195,150.9576256,100.5948568,102.948843,23.77285367,234.5105844,137.458903,87.55534115,93.2460315,31.5079635,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733.659303,178.4377955,111.5025618,91.50803105,35.52593218,4771.973834,210.1787615,110.5763576,102.9037133,24.18743847,4384.232273,198.1462455,116.7013005,128.8329651,52.05794883,4791.790653,218.5517524,117.6900104,107.5639554,26.40024551,4741.552662,199.0978965,82.91112215,96.75782063,29.82565845,4327.510663,179.1789925,76.12206476,78.62345802,23.23805768,3824.428985,168.3794553,74.34994189,87.86333197,29.21986912,4143.459045,195.8158645,121.468727,105.4310531,27.99237498,3264.023826,155.439677,108.7406747,94.48916303,24.36590156,4737.192096,223.6429423,143.6860792,131.9680552,31.25409872,4953.725837,235.9094444,153.2211762,130.4075002,27.64405294,4912.255019,232.4578717,149.1011978,118.0834922,28.585939,3858.159845,179.1948886,116.4628126,101.1814775,21.40128065,3433.403745,167.2298313,113.7896403,87.58135018,28.46705429,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366.2691068,51.76298095,92.88731942,69.83666472,29.68329768,467.2769862,52.53659256,85.088481,72.64045913,17.98514252,479.1765263,52.77690609,85.75576088,73.49155634,39.91326493,531.7452264,60.25730004,80.72756437,75.71027356,19.74816935,455.7466639,40.37787283,57.92340683,74.94994676,41.76725296,318.1815431,28.71047278,48.49938644,46.4981566,23.60549352,323.7291894,33.7077905,65.84229862,63.73581513,30.10524563,324.5709647,53.77878272,121.8031421,84.11635181,22.08319046,267.4410013,51.40940566,90.31893652,76.1347569,23.01566345,441.356044,76.35013078,121.953467,111.6086522,39.13314546,456.4402853,77.15614482,134.6896583,99.8733324,22.31379766,450.2026853,65.28535309,117.0149065,89.48706244,20.12341443,401.609079,58.47908231,111.9511498,79.08533828,17.80062057,318.5573539,52.94510659,101.7630582,68.47139317,23.85725441,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
