delta,theta,alpha,beta,gamma,state
865.2234152677879,28.998753952061193,5.916132103488314,7.817525426388574,3.3735535496424993,1
2821.0658269518553,19.323670924366542,7.617668021669071,8.90921732064378,3.7466990228921975,1
12188.910451274494,209.20814663865426,24.776676745450203,14.00955090111904,4.289000091178201,1
6968.12745225154,14.524915864963804,5.992433540331044,7.959806378858763,4.186223315871933,2
2405.991878598005,31.865526214442593,6.838443042961433,9.032710559935277,4.154726017187501,2
6926.868658803416,30.47454339563528,7.178889205443588,9.284970793554754,5.493182467114875,2
2407.2392579893763,11.9519151746359,5.579277292064974,7.334894775329328,2.91841170503551,3
1936.8424615085294,13.488960053824872,5.175364259896743,8.050946052233265,3.0144938489416546,3
41.224588251563915,10.070179843588837,4.945701636246719,6.488090172862727,2.797730124000081,3
177.18056234641102,7.342611478891656,4.7724307573335985,6.966051161335006,2.376223067383225,1
73.17825946061738,6.132105124931568,3.249084460806455,6.227867826923643,2.418470095430098,1
195.4074846370788,8.410147358961542,7.2203994660013615,7.187784633591344,2.3490507116543085,1
183.82113747480486,7.753313238961919,13.653107066665868,8.413397962422668,2.4369742960407104,2
175.10744642183337,7.015307450055989,13.470364920910258,7.67586691373708,2.2166968019112367,2
268.3497906077134,9.294486291630491,15.501291204801316,8.096735474339926,2.2333296677864283,2
61.86940026129838,11.225177247661309,7.286336068465259,10.847380662500914,3.3785648473167766,3
70.62514462055941,6.176925313759435,4.261940720242545,6.721901883983402,2.400907815852623,3
104.6897451820341,7.462231245371161,6.274426507840671,7.517038977007246,2.3096643135037724,3
57.00199081097961,8.746385837596051,5.130349503157606,7.054770154841024,2.8480959007735285,1
48.19286959175053,7.746572122243202,4.835279273879047,6.95963537248931,2.2942132794925643,1
43.27695709480574,7.410643237745159,5.3508012747411735,6.166116745207632,1.992387144593453,1
101.16902863372931,14.332732524378077,11.081022324563417,15.465172474765723,5.382703755435003,2
67.66813260952422,13.024964725940617,8.130934064942238,6.821814078784386,2.128548468735426,2
57.81903170747999,12.993053495992644,8.673217440913607,7.173556869825642,2.137996757091712,2
142.53092813888867,11.144938509031906,9.094929539666659,7.190223778148046,2.326097037002399,3
77.19165476951422,9.659207906866653,8.492178775358338,6.8120626493493095,2.1826775860594076,3
93.5642385050136,6.509359950548642,5.486707593013902,5.549397540072963,1.9233405148731462,3
108.68237876048232,12.807469824807331,7.706996269324076,9.446295398947978,2.4539293180515065,1
15.575802201401896,3.6839182084335627,3.276990252411638,6.677230173705546,2.1403799140742694,1
14.448620751931001,3.7473997255339255,2.7817055246241464,5.995042272305254,2.033649643531603,1
145.29971488757758,13.080838021049708,29.892351068452875,11.890757567603238,2.3003331518174046,2
685.964178085985,14.292581299087866,25.73471009833616,11.560272572826701,2.178773492745751,2
1536.053336919429,10.104707047358271,17.394346496561255,10.708255770809059,2.1895611676500026,2
875.7436414319798,15.305264479743137,24.138679049144862,11.152653760060192,2.257561061536356,3
455.5418442820086,11.908457289034693,18.62232016613185,10.689949259908458,2.236616495623067,3
462.3447727527092,9.542433719885235,13.168017766594897,8.453826873237336,2.1507806363878643,3
16.830734735915353,4.711131047560611,3.9970796047535204,7.196786490766723,2.302863997879642,1
21.66474472169451,5.176889838587572,2.842385441061782,5.893658012444026,2.0967351975542132,1
19.367130975598535,4.279126759999186,3.4447651717240864,6.919361727762028,2.141121197311632,1
95.2879742295434,8.476207981976668,20.428680516687283,10.361656938055143,2.1845589335677187,2
73.21009234149028,5.296040844610404,10.583018007740733,8.59096520868084,2.112781826951881,2
321.63676345970174,9.355398054685953,17.19238359896551,9.917250403255617,2.2163323797732,2
21.847448242847264,8.132542235361596,14.507382813486698,8.66295755792109,2.1646502318043566,3
13.753707861617626,5.139644773055778,10.874034076836438,8.6853120644326,2.2684372866795153,3
39.15346357010596,6.63079836002874,13.779139724413115,9.49225537075987,2.204146744264507,3
19.964287565924355,5.9760493874540614,4.088394524014211,5.409001360203599,2.1511053450565583,1
31.83079863315885,6.148873317649648,3.9357296922373046,5.134262460331088,2.2393487082124923,1
17.603741556261088,5.353464498814384,3.757868256339844,4.936128442402304,1.8525554663175106,1
21.5469801464808,5.13731050708823,22.113464947465975,11.961074351852183,2.3799018722882104,2
15.247174888208193,4.924718795009314,21.6728410482456,10.289999429371106,2.2896018810136614,2
14.550786672285394,4.374789709430939,17.718924779874257,9.823158105841104,2.311864444332373,2
15.710169111098992,4.285474917464002,14.989498124110913,11.449851445347594,2.0838587020622747,3
15.777603003577077,4.627024243621509,15.565775424331958,9.678155418561028,2.2763511617543966,3
