delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030.136049,30.60680378,13.90653989,97.15698447,167.4182547,3506.94694,91.69878782,35.23204514,446.9161569,605.421507,207083.1205,8143.337868,1440.036497,1329.829156,513.8506517,4300.824026,153.7512682,42.44936995,426.1565318,567.7543787,6193.00272,3312.03767,2267.482765,4539.104463,1798.293787,108.3384047,33.46518334,23.68874305,434.0499881,640.3757017,143.5552955,30.65522477,21.17576382,329.7841945,472.3776421,313.1707418,48.5070738,37.30311827,394.3638463,551.5753249,296.5678984,41.964457,30.94586278,378.8740641,563.2900369,1910.344366,75.27410437,43.17781518,484.9450948,670.8096678,5085.348372,175.2640251,54.30791104,425.5761312,573.6329358,101851.684,726.3311592,131.2617014,438.7577918,542.6470538,2380.992914,95.40784567,33.31347498,324.1909201,451.6448536,11421.92691,148.5163153,45.61194441,407.4544461,549.1646832,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.7470995,27.02433536,11.56502675,114.6624647,133.6866178,1635.232945,76.65898579,37.25634826,530.3477627,556.4018027,167269.3495,14020.99876,2134.500807,2211.551493,356.4453493,2116.668693,125.1478122,42.7644995,503.7729836,519.2163973,8284.172341,2187.711191,1476.417719,3664.242579,1660.516406,76.65858486,14.00856996,24.52470743,539.6446805,609.0958931,83.27152305,16.18816981,23.54809338,399.9408841,432.3141518,166.4902012,28.84543519,41.05737276,474.5846672,492.7728703,173.8547791,26.25805252,36.56779898,446.5184659,493.8179983,944.2715487,66.92887275,44.33862623,545.7617699,560.9825677,4237.110316,244.8369769,67.31284921,500.1619266,519.7758287,2604.776757,218.6282363,61.26989615,466.6953329,492.00458,1325.153878,115.9643314,40.22936379,379.6761339,405.3780005,869.6429713,93.08590325,48.49519301,482.5518616,493.7631258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.905139,31.36022559,9.709982159,31.02158776,29.68424246,421.0582693,36.31992263,22.20108001,120.0320757,80.89121086,3884.484748,136.8711772,35.76911003,65.26590894,45.7066918,941.5087821,78.21596625,30.38696493,117.8217625,78.68543581,8515.197683,3056.296474,2081.23885,3830.212003,1046.312059,23.5773937,8.327093447,10.80258822,107.6773457,75.74654446,46.83512521,13.31974564,14.58005318,89.78832883,61.77246512,64.52537969,16.48276201,29.53433668,114.6936709,70.78940995,79.72333279,13.15750644,24.50169646,111.2608623,70.54561655,677.3911787,16.92553851,26.64298921,146.3369225,90.25125288,1472.247408,84.58436533,43.63731371,128.4835006,79.43059445,608.2115916,126.301785,50.14461294,122.0036153,73.11876396,742.1760079,48.87689676,26.9642764,94.82970294,59.82672427,239.2828107,51.28884644,32.072245,117.1652783,72.15068834,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.3006174,15.07134948,10.01445423,25.78022678,23.0535104,506.9074823,38.70027215,29.29816232,97.13851484,64.03115575,1737.043077,155.202249,45.48164439,61.41181555,41.44712562,2530.542386,94.21250095,37.06438193,94.49092753,62.24657281,6156.741268,3460.867156,2177.035857,3111.051289,838.4326477,33.69771775,5.943378464,10.01904084,78.80184398,60.03717953,57.82291946,10.19069701,15.32143355,68.70256852,49.19642474,130.5127728,21.39373481,29.31762179,90.40439461,57.80370832,126.0960402,18.01862796,26.04561376,89.86604179,59.21619336,276.6943467,22.60204795,30.03072961,110.7868328,82.9259629,2338.193805,188.8519465,51.91539854,106.2123796,65.44273528,1100.014731,177.5383142,48.36069638,98.10109225,60.96787959,648.7430207,87.9123091,33.50528864,80.84355291,51.06765354,446.0148219,66.84323763,38.56461016,96.71430056,59.59020601,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.6207781,12.97502244,8.758550108,22.74668678,28.82787107,1519.932228,101.1251467,33.07323205,97.42719334,54.71551275,1335.039571,57.20998199,17.58085733,37.49277206,49.27200447,3070.011002,88.04387851,25.32570269,76.87485926,48.1992972,10177.75973,1568.523317,860.0101371,2443.664878,672.9182666,39.73669088,7.904339037,9.39426021,60.43447048,43.91119529,76.18513443,12.95847952,15.67589211,56.78034547,37.84809264,218.6505131,23.08015139,29.64896212,74.22777279,43.10289623,292.4417566,17.43323297,23.19631735,70.21746877,41.5899309,1648.992244,32.88451389,25.10360356,86.72750959,59.73709003,5615.7418,179.6425711,49.66587699,97.13165908,54.72842929,2350.152288,118.9448,41.88453102,82.79836094,49.27972399,2724.589417,103.7740706,36.41369245,74.41957554,42.8308039,970.1704391,55.15097332,32.74508434,80.14909826,47.68615505,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.8082746,17.68584162,10.58534439,47.84579894,86.23287027,1666.967469,78.74172724,36.12506839,163.6801332,114.9780374,23718.8109,343.2158859,77.62645424,110.4538925,158.0642433,3387.01635,119.1831807,39.06400316,152.916102,102.4136552,81219.27783,3127.199132,1238.70856,1976.186252,678.9940565,165.2345774,13.38394811,16.65700008,125.181416,96.65842733,169.4326445,17.85088778,24.38269306,111.3304864,82.03958086,21175.31835,98.81022023,48.18251914,154.7552596,95.70757874,346.4439914,25.81880845,26.75099118,140.1599063,94.71655714,1470.27653,44.59499787,31.42427855,182.9417804,124.5840089,8016.427837,261.7830249,53.6828291,162.2767801,106.9426313,1845.451747,146.4971639,48.4299249,154.6483634,99.27389306,2797.586195,148.1152873,33.59902807,129.6366258,86.23211932,785.6641684,71.65964558,37.99438795,153.1740641,97.86975128,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.1024832,18.71596956,10.34557726,41.042575,43.60473596,995.7346644,65.91323282,36.53605081,152.5892493,103.6807661,1618.636253,74.24492165,21.52554853,58.25171656,79.11295564,4421.078154,137.7427901,39.40555406,142.4926818,101.5854756,41022.2116,5267.988749,2290.960894,2645.468506,1007.483337,86.96514218,14.62983222,19.97911236,122.6242674,95.3776185,82.76929939,17.83085401,25.52178067,109.9725905,85.84927477,236.7284424,29.40359137,45.09931806,140.8288778,103.07232,308.7497701,26.58979415,36.90410316,136.4284266,106.245452,832.2258645,48.65734161,41.68882693,167.4667198,123.7301883,5972.837168,214.6078259,54.39178674,156.6824334,116.2911209,2186.643193,158.1430655,50.03911114,146.4114645,105.216598,1524.868931,195.7243177,39.360523,123.760186,93.19825604,818.7141835,75.56810901,42.65590177,146.8583761,106.4902287,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.7360677,31.99857612,16.11223533,310.59836,367.1144548,2847.175479,141.1972942,68.71787061,1175.205189,1384.702473,232560.5869,15114.70354,2535.47065,3175.091049,789.6618937,4255.356978,185.8199942,62.0025774,1125.081758,1302.164389,8275.191586,516.4255262,260.8757521,2221.251573,2430.683715,257.4350728,51.93120512,36.54013789,1278.285717,1624.512482,297.0881648,53.12422195,36.34739968,935.7404999,1151.84637,476.8711973,81.05995945,57.1964714,1085.480264,1250.261968,456.4403465,68.05743285,50.86205919,1072.903335,1235.227739,2662.017485,109.8187102,62.43302658,1207.055995,1460.524297,7223.496089,242.623539,72.12679961,1100.886418,1308.635357,2091.392849,233.6242844,70.65735287,1056.862404,1222.293018,3924.126163,162.8283086,58.537792,895.3084945,1067.539137,898.1179943,124.2865015,58.78417877,1083.828964,1260.138809,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
