delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
53.89983516,45.60933837,48.49776066,43.58067019,25.09709283,41.41976456,37.58147822,33.07638862,43.57143052,10.39784615,43.20166938,55.12557735,52.12055372,49.12041833,20.3558904,47.24464416,42.96939043,34.38829723,47.61360121,8.808400155,55.341124,19.28872073,31.43545682,68.24114484,45.2896012,30.37648101,13.69868001,25.90392199,19.83234426,17.18055455,36.5906946,21.21299911,15.74950599,32.63656892,21.90600444,77.73864325,53.41237906,44.66836288,61.42711521,20.67870119,45.91151167,39.85039662,23.97286738,54.13903411,25.33838258,47.39949264,67.52614156,45.89362885,83.65340619,38.37923474,69.36346794,87.4801255,80.67870316,96.16232839,24.28394971,64.08700287,55.53836903,57.01252907,53.15227553,14.67040478,64.48809116,54.81145254,57.53427084,54.21238589,13.64444556,53.32544406,40.16560129,55.04951806,44.20871349,21.63894208,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.188996,21.63942843,79.09954796,54.48979654,25.3366703,110.1923688,20.7008168,76.64344657,49.92219185,12.85141697,93.97943472,20.78597067,95.39161596,61.87338263,22.41178192,548.74058,47.35383012,70.62989672,55.42476216,15.76104501,111.8297797,12.84126069,50.09826024,64.30692511,35.42651098,63.79233254,9.234780651,40.63556893,30.15806498,24.60961952,103.6694702,15.66275402,63.34482633,47.21117498,25.73657049,187.8553559,23.99743039,76.73141397,83.61669366,27.40958325,96.34333247,21.46509958,74.63246978,77.19358703,32.52472358,108.0815571,42.84305137,133.2255994,131.8926426,30.21696147,108.6968883,57.81597204,112.8149078,111.8463478,28.12938539,141.8304848,40.83201718,104.1091923,66.65992012,12.14677104,117.5848887,30.7827737,109.8806786,80.66307125,13.80116324,97.47225187,26.89892979,84.51090481,62.61720786,19.75130256,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.887723,24.28205093,28.88689149,43.85626923,27.0755653,168.5267943,26.07503599,29.6776807,44.30622598,12.91790767,148.3759198,27.05216362,32.54290298,42.63976982,24.49530219,131.998011,23.73150493,26.61127314,48.18709638,11.38206105,84.52327542,12.55447845,13.08860568,52.69270027,20.54234636,93.41240134,7.18668712,11.65085169,16.52065999,10.38910959,122.1110719,21.43716889,14.84741199,41.78246448,17.3933617,234.5943914,48.20739656,19.83193621,82.63619732,25.94031123,128.3780252,28.73691429,16.87241097,71.22053502,29.53009059,220.8500245,51.39779067,31.72919802,112.1966795,29.64029047,560.3789539,49.79166157,88.22005277,114.892313,30.92001319,222.6428108,33.27466829,34.31183303,51.59123812,13.87233802,271.8467156,36.81640426,30.16848394,42.09780627,15.73054796,142.889203,31.25546238,23.76243853,37.17353639,22.17612357,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.50480962,47.80496786,49.37456364,46.32637491,23.70026685,105.437451,47.28662586,31.73998973,52.07009203,13.25449826,199.3802266,52.15657558,54.06504028,58.17696018,19.84041489,244.7522047,56.42107824,44.04638874,55.93908522,13.75750963,30.4504572,26.6792587,20.78356339,52.29052646,29.08889168,17.65523923,11.68889706,21.5252123,23.00029451,14.02675564,76.44324312,9.95873655,15.56487044,41.34483589,23.77417141,183.574225,24.73224278,60.619952,78.56634316,24.1743094,34.52233096,23.12865982,56.57626667,83.06996315,16.53254515,49.11004239,51.33061867,111.0478048,121.0670661,25.17694735,61.63275781,75.67654769,126.4888954,93.17409684,21.83607087,872.0634855,176.1109768,72.63908607,72.59687255,16.16963198,90.69208168,63.33445189,65.80986702,65.80921227,10.70507947,44.55000803,41.9822427,54.99531436,46.12912042,19.44964172,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.8327522,26.01397583,33.72077983,37.38348321,28.69558929,195.8270078,30.08905219,37.1193566,44.65124802,14.30365405,102.1043396,43.81891663,42.33657294,43.18779195,24.95952131,154.1274929,33.38426991,42.38886863,40.4068477,17.09414133,115.5805278,14.07706426,20.02337074,50.262549,32.81920384,59.41337805,6.517074965,16.53644911,20.04082744,10.65860711,52.70959179,6.525551139,15.4163219,31.29356674,20.29688483,99.92051439,21.07525363,29.25542761,41.97115202,37.81388634,61.70936373,23.42333388,23.45182153,49.37992283,32.38416865,154.4839844,43.75363371,40.65694198,80.16139636,33.01419226,163.6620126,45.85458389,35.99987665,66.96586354,25.16660318,1723.438111,177.5075193,84.16811898,94.06836375,23.48446017,152.9191997,38.86820665,29.29610842,42.56657227,16.25180915,99.34893379,26.72231364,32.9319479,31.52478714,22.5192154,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
