RANK: 3
OVERALL PERFORMANCE: 43%
EPOCH TIMESTAMP(Every ~1000 ms)      Performance( Scale: 1-5)
1597501785316.0                        1
1597501785497.0                        1
1597501785675.0                        1
1597501785870.0                        1
1597501786046.0                        1
1597501786237.0                        1
1597501786414.0                        1
1597501786591.0                        1
1597501786767.0                        1
1597501786948.0                        1
1597501787123.0                        1
1597501787326.0                        1
1597501787491.0                        1
1597501787666.0                        1
1597501787862.0                        1
1597501788038.0                        1
1597501788239.0                        1
1597501788414.0                        1
1597501788610.0                        1
1597501788782.0                        1
1597501788964.0                        1
1597501789151.0                        1
1597501789324.0                        1
1597501789471.0                        1
1597501789622.0                        1
1597501789762.0                        1
1597501789930.0                        1
1597501790119.0                        1
1597501790289.0                        1
1597501790484.0                        1
1597501790659.0                        1
1597501790834.0                        1
1597501791003.0                        1
1597501791180.0                        1
1597501791356.0                        1
1597501791533.0                        1
1597501791713.0                        1
1597501791871.0                        1
1597501792066.0                        1
1597501792236.0                        1
1597501792414.0                        2
1597501792590.0                        2
1597501792763.0                        2
1597501792932.0                        3
1597501793103.0                        3
1597501793280.0                        4
1597501793451.0                        4
1597501793629.0                        4
1597501793806.0                        5
1597501793985.0                        5
1597501794146.0                        5
1597501794329.0                        4
1597501794507.0                        4
1597501794679.0                        4
1597501794876.0                        3
1597501795038.0                        3
1597501795215.0                        2
1597501795397.0                        2
1597501795566.0                        2
1597501795743.0                        2
1597501795916.0                        1
1597501796081.0                        2
1597501796250.0                        2
1597501796439.0                        2
1597501796596.0                        2
1597501796763.0                        3
1597501796928.0                        3
1597501797103.0                        4
1597501797258.0                        4
1597501797424.0                        5
1597501797599.0                        5
1597501797760.0                        5
1597501797932.0                        5
1597501798097.0                        5
1597501798271.0                        5
1597501798440.0                        5
1597501798627.0                        5
1597501798794.0                        5
1597501798963.0                        5
1597501799131.0                        5
1597501799299.0                        5
1597501799471.0                        5
1597501799632.0                        5
1597501799800.0                        5
1597501799974.0                        5
1597501800133.0                        5
1597501800303.0                        5
1597501800462.0                        5
1597501800622.0                        5
1597501800780.0                        5
1597501800937.0                        1
1597501801100.0                        1
1597501801233.0                        1
1597501801386.0                        1
1597501801550.0                        1
1597501801689.0                        1
1597501801840.0                        1
1597501801992.0                        1
1597501802137.0                        1
1597501802287.0                        1
1597501802442.0                        1
1597501802587.0                        1
1597501802737.0                        1
1597501802885.0                        1
1597501803020.0                        1
1597501803173.0                        1
1597501803328.0                        1
1597501803481.0                        1
1597501803627.0                        1
1597501803775.0                        1
1597501803929.0                        1
1597501804080.0                        1
1597501804237.0                        1
1597501804387.0                        1
1597501804546.0                        1
1597501804701.0                        2
1597501804851.0                        2
1597501805005.0                        3
1597501805164.0                        3
1597501805304.0                        3
1597501805450.0                        3
1597501805598.0                        3
1597501805744.0                        3
1597501805884.0                        3
1597501806028.0                        3
1597501806172.0                        2
1597501806319.0                        2
1597501806461.0                        1
1597501806601.0                        1
1597501806753.0                        1
1597501806930.0                        1
1597501807077.0                        1
1597501807220.0                        1
1597501807371.0                        1
1597501807506.0                        1
1597501807652.0                        1
1597501807798.0                        1
1597501807947.0                        1
1597501808096.0                        1
1597501808242.0                        1
1597501808402.0                        1
1597501808537.0                        1
1597501808683.0                        1
1597501808830.0                        1
1597501808967.0                        1
1597501809118.0                        1
1597501809266.0                        1
1597501809409.0                        1
