RANK: 3
OVERALL PERFORMANCE: 31%
EPOCH TIMESTAMP(Every ~1000 ms)      Performance( Scale: 1-5)
1597502690541.0                        1
1597502690698.0                        1
1597502690856.0                        1
1597502691016.0                        2
1597502691175.0                        2
1597502691333.0                        2
1597502691497.0                        2
1597502691657.0                        2
1597502691828.0                        2
1597502691986.0                        2
1597502692140.0                        2
1597502692293.0                        2
1597502692456.0                        2
1597502692611.0                        1
1597502692764.0                        1
1597502692923.0                        1
1597502693084.0                        1
1597502693239.0                        1
1597502693391.0                        1
1597502693549.0                        1
1597502693699.0                        1
1597502693876.0                        1
1597502694024.0                        1
1597502694180.0                        1
1597502694339.0                        1
1597502694495.0                        2
1597502694650.0                        2
1597502694806.0                        2
1597502694963.0                        3
1597502695144.0                        3
1597502695291.0                        3
1597502695446.0                        4
1597502695606.0                        4
1597502695786.0                        4
1597502695962.0                        4
1597502696117.0                        4
1597502696269.0                        4
1597502696393.0                        4
1597502696545.0                        4
1597502696697.0                        4
1597502696848.0                        4
1597502697003.0                        4
1597502697156.0                        4
1597502697306.0                        4
1597502697467.0                        4
1597502697613.0                        4
1597502697762.0                        4
1597502697911.0                        4
1597502698062.0                        4
1597502698230.0                        4
1597502698375.0                        4
1597502698523.0                        4
1597502698683.0                        4
1597502698830.0                        4
1597502698978.0                        4
1597502699125.0                        4
1597502699272.0                        4
1597502699417.0                        4
1597502699561.0                        4
1597502699710.0                        1
1597502699856.0                        1
1597502699993.0                        1
1597502700132.0                        1
1597502700263.0                        1
1597502700420.0                        1
1597502700558.0                        1
1597502700689.0                        1
1597502700822.0                        1
1597502700956.0                        1
1597502701095.0                        1
1597502701234.0                        1
1597502701374.0                        1
1597502701508.0                        1
1597502701643.0                        1
1597502701798.0                        1
1597502701923.0                        1
1597502702060.0                        1
1597502702216.0                        1
1597502702340.0                        1
1597502702480.0                        2
1597502702639.0                        2
1597502702801.0                        2
1597502702935.0                        3
1597502703086.0                        3
1597502703213.0                        3
1597502703348.0                        4
1597502703512.0                        4
1597502703662.0                        4
1597502703797.0                        5
1597502703933.0                        5
1597502704071.0                        5
1597502704195.0                        5
1597502704353.0                        5
1597502704523.0                        5
1597502704657.0                        5
1597502704791.0                        4
1597502704923.0                        4
1597502705059.0                        4
1597502705196.0                        4
1597502705324.0                        4
1597502705455.0                        4
1597502705612.0                        4
1597502705766.0                        4
1597502705901.0                        5
1597502706038.0                        5
1597502706173.0                        5
1597502706305.0                        5
1597502706439.0                        5
1597502706572.0                        5
1597502706705.0                        5
1597502706839.0                        5
1597502706959.0                        5
1597502707090.0                        5
1597502707224.0                        5
1597502707357.0                        5
1597502707489.0                        5
1597502707621.0                        5
1597502707755.0                        5
1597502707909.0                        5
1597502708070.0                        5
1597502708205.0                        5
1597502708361.0                        5
1597502708532.0                        5
1597502708674.0                        5
1597502708822.0                        5
1597502709115.0                        5
1597502709258.0                        5
1597502709409.0                        5
1597502709554.0                        5
1597502709703.0                        5
1597502709845.0                        5
1597502710001.0                        5
1597502710152.0                        5
1597502710304.0                        5
1597502710455.0                        5
1597502710611.0                        5
1597502710771.0                        5
1597502710921.0                        4
1597502711077.0                        4
1597502711238.0                        4
1597502711387.0                        3
1597502711539.0                        3
1597502711686.0                        3
1597502711839.0                        3
1597502711988.0                        3
1597502712141.0                        2
