delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
1550.8643195947761,30.010568334412042,4.856724157989422,5.512367419926072,2.392907916280341,915.41204837524,31.102592788424175,4.231839416259687,5.862498704301234,2.6960795786803766,641.7273285139574,22.173023646986813,3.435368919515878,4.417868863550492,2.0688169523644078,3086.965917267458,40.64118790229943,4.929955218453513,6.449429574991076,2.620101412209229,2889.9196446342385,44.040598862736616,6.067124232633004,7.833214830663636,3.461476005254484,700.1927858419506,26.964647422593348,4.3817761395932155,6.865052020700845,2.9987902581306276,865.2234152677879,28.998753952061193,5.916132103488314,7.817525426388574,3.3735535496424993,1
2573.7285422878936,20.202747955990347,5.601540201792219,5.698612546939529,2.518982429818288,3058.4259930116127,23.682814252664357,6.495405822535723,6.399112103805441,3.11050401245566,2130.9212809236287,15.125062795232182,4.608575572788453,5.2999462486862585,2.853347187045819,4018.294206661614,25.471828021398338,6.87667126507537,7.041292556284523,2.9931281977744275,3566.6791035763804,25.25718890584819,6.8746441022043925,8.044798990568983,3.7475771496485084,2035.0239670798508,17.452070853244358,6.572259276424894,7.231403010347537,3.6073275149705912,2821.0658269518553,19.323670924366542,7.617668021669071,8.90921732064378,3.7466990228921975,1
10178.18093061241,175.84449143770576,20.08687685761428,11.148784478112722,3.4438866312028016,17108.780861450865,314.03372002670653,24.678603801945656,11.524132353392217,4.798489934316373,10670.976425582327,207.17213432947514,19.898242266914494,9.400602154452459,4.382920570500288,16000.770213574344,269.1955669138704,28.25424812271609,14.390884603196987,3.836137060178615,12066.001601357528,226.06019384826226,34.650250110528155,18.463293358110977,4.431719665307137,10260.97976197152,186.20119272532318,18.84172558482183,10.11393319878192,4.101675542938574,12188.910451274494,209.20814663865426,24.776676745450203,14.00955090111904,4.289000091178201,1
5257.865114396543,14.979753382903027,4.117383018490088,5.582675597552338,2.882527102219135,7535.140747192077,19.716619762302376,5.421603621881506,6.687076310768971,3.62992786155837,5859.440304883384,12.814375177279683,3.7834915974139487,5.823580752453439,3.5978037499301547,8924.305156113645,18.421648393848507,4.432667879872192,7.157880446058028,3.7579092773286065,5346.049015414498,17.91858488970506,4.868715395469647,6.867558445562885,3.198193701304412,5001.106870267241,14.64826881846222,4.731354000579628,7.368297168108927,4.529570884153277,6968.12745225154,14.524915864963804,5.992433540331044,7.959806378858763,4.186223315871933,2
1844.9842711954027,28.79349331544941,4.0630536269998645,6.0901703270910374,2.889183620929833,2725.844420908583,32.88850829885536,5.153061315940444,6.973707597905681,3.571432639415138,2173.7194643852063,25.124635250477894,4.0017032118584295,6.013536067495559,3.626673299648688,3117.0438913132048,38.46617373965197,4.959380484065619,7.2023767260343785,3.5832433445139316,1889.3634755513347,33.42591811425842,5.630187988000431,8.27299889599088,3.3149059147085973,1727.6119463090042,26.08086962119002,4.7323375553483835,8.642854809637695,4.615179442029165,2405.991878598005,31.865526214442593,6.838443042961433,9.032710559935277,4.154726017187501,2
4800.900850869978,23.75108390925996,5.790492361943349,6.168017703550539,3.901086114156145,7170.425461885163,31.386487667007643,6.574450265224797,7.769681479144448,4.540790400565457,6174.71675623921,30.00675322094886,5.176241080778105,7.49218510841024,5.607163023384721,8040.632952477934,33.69871513755342,6.5384629049943355,7.801387770026567,5.041162399127738,4896.029791239492,26.097402659537188,6.82990591541088,7.947311466626461,4.141006848660763,5465.480326835632,24.18526481851069,6.185844571735613,8.942826339270916,5.39197186546546,6926.868658803416,30.47454339563528,7.178889205443588,9.284970793554754,5.493182467114875,2
1713.5722525482868,12.592437797760851,3.5908186654153424,4.834554646841778,2.058113913475749,2421.801634222821,14.614673865045038,4.04320169297645,5.144744092951202,2.409223445951249,2112.7103372952038,20.812930273296455,5.776913974672921,7.383509474817074,2.3743723218148607,2906.6084774062615,12.756295603410045,3.6692141002664864,5.587786381874205,2.5555061386776954,1819.016455210362,14.33492542565788,4.6541151218680525,6.599712582495483,2.620278166871536,1937.7891439294265,12.619002962445212,4.428642079571155,5.95769676410592,2.6248933239344363,2407.2392579893763,11.9519151746359,5.579277292064974,7.334894775329328,2.91841170503551,3
1412.3469994140032,15.387273375199038,3.91356630838538,5.0809586674588765,2.1350700688401876,2027.8774870082304,14.754440789186072,4.5378474297563915,5.869785663914154,2.4875696368474562,1601.9799087094416,12.390443250241049,3.162530706413944,5.337960557394254,2.260456316104621,2345.2695774356134,17.87855311000564,4.223719369946506,6.104340033253133,2.5443819014284945,1457.9814615283601,21.42062688905549,4.9999074532645364,7.010516795831939,2.691842092243544,1502.2323952440304,12.922236833719737,3.9911621932928694,6.098623282954845,2.865410603575891,1936.8424615085294,13.488960053824872,5.175364259896743,8.050946052233265,3.0144938489416546,3
50.074642736915145,18.18574346007144,3.8377988369388127,4.811044654034664,2.2146269933243095,41.81285455837902,9.880400243784369,3.582941142824141,4.7585833955817955,2.2092897887609912,84.29033592893923,6.657742435791359,2.2684636447526536,3.5085382735124893,1.7581222518189217,63.934402280098446,13.893739293460063,3.823441329896094,5.221748403537673,2.29598292493258,110.96104650045226,16.113366094991548,5.121734852858089,6.460991301354382,2.5312806315899166,67.74621458319422,9.101385819044097,4.036140033678541,5.4788206465991385,2.4512438876280505,41.224588251563915,10.070179843588837,4.945701636246719,6.488090172862727,2.797730124000081,3
895.0340079888631,10.442783290326563,3.7364244270143745,5.045794608679272,2.160760507238036,1702.721513636454,9.086116165833785,3.790953459790502,5.304810428068883,2.424143934834769,903.091940425352,6.491328840818516,2.232371342674888,3.4934909265707574,1.767520204771547,2644.823201416534,10.064071532750589,3.619474271084921,5.711285297997668,2.6478197840146405,4031.816456765933,29.74822329345679,9.889565528036403,12.235041990391563,3.6840991537171814,1211.1785738459796,7.358969190473277,3.7386419242707314,6.013743983457701,2.6487928069584847,1573.5425157857248,11.462028400343376,5.446543051563412,7.013100046974606,2.4880943431349607,1
999.2774814306235,9.481851387422761,3.336521735762179,5.263164472950711,2.2559144039919663,1746.4554666475372,8.029552514747898,3.5782105705765264,5.140577136730651,2.2466426785664804,1017.5276566837922,6.86486618020419,2.5882187702936563,3.6772810097521376,1.9761403956518324,2065.902709714203,9.202948701172634,3.106738067030681,5.685225331120697,2.5717267949408202,3378.5694132429826,32.16899557777808,9.209726578212736,13.203242127596585,4.209620938574283,1168.625200016195,7.425115417675767,3.588032809204004,5.89778301947489,2.611042100849452,1445.5072515989173,10.432623021011132,5.634967360035861,7.045835640996012,2.628077226260409,1
791.9130148127291,11.16595009873933,3.0554230443774513,5.144461006161254,2.1785674759955267,1304.6051428950966,9.231694303177726,3.2096669312814083,4.960004553939834,2.405035420340431,734.6666863724315,6.7939074614892805,1.9706484491187506,3.4958454279040123,1.8589730048528923,1729.5476599684625,10.356509762601885,3.072420164778811,5.5947116386208835,2.3819429331085065,3072.3071443537983,25.37591888212492,7.907336963036131,12.640395605718465,4.314745345883282,883.4029172551984,8.550976528550793,3.295339824854852,5.862667828696185,2.558556003580962,1125.1410463713703,9.940231425887223,4.751839462040535,6.60669042402825,2.565589840901974,1
847.3581559578787,10.14517265774008,3.4875914003329256,4.4403661801658885,1.9673769407451573,1083.500405318562,7.909175577440521,3.2737171363139757,4.459726623207752,1.9773184766436767,542.0745116252767,4.089719733964332,1.837405792784688,3.113117963921669,1.7150980721160554,1520.0585876260361,9.291974878045787,3.1228091221982157,4.426880921748722,2.149957461697539,2089.8250276238787,15.233990868386325,4.643984679131975,6.819301426374923,2.7441292780806243,735.3429496116842,7.30798736776641,3.248133962013722,5.417131989745355,2.496850425373696,934.2493847356961,12.614659443729902,6.298090549665741,7.827798481462991,2.683059553024989,2
657.0188523009456,9.021236601203357,3.944152946291516,4.776852849472832,1.949052716775902,869.4330940284167,8.08752427372189,3.9702277732315627,4.646804945490256,2.0563348688876446,502.7415382073389,3.9426890271700707,2.3977622781285683,3.1183849180219503,1.5354331395327108,1518.6669453620198,7.25960066603596,3.5677070582138883,4.889665777526525,1.9842625860525465,1936.8678087026806,12.54334368997996,5.383444834312362,7.051440151277309,2.6186125636171416,594.4931554254545,7.994238049215639,4.076453048178438,5.230588249513957,2.2437564180583704,893.9338232309534,11.981702858710952,6.526719578182,7.833141302150636,2.304022328828122,2
933.7653325526034,10.429702573410566,4.892893428985321,4.993049723211507,1.9988406206793483,1276.5126018595722,8.912678888961283,4.0840001771743495,4.809406513779294,2.030195942938018,758.9934697745911,4.29354922583015,2.165623451450807,3.3845131767404673,1.8302346834421999,2083.1463639590447,10.14765864013672,4.475228961033151,5.1323530454814765,2.203665608494065,2640.7888327900564,18.073308189081423,6.380109573315141,7.412368544198377,2.6485533241616217,789.7731653477284,8.130743118892793,3.9115626242834587,5.549655876428022,2.287896531684985,1127.298091277895,11.438134211889192,7.736511298666684,8.048638719334956,2.3954709134945955,2
1003.8150467874618,13.669882597629972,3.4848210491999745,4.722217535168442,2.0026313400029125,1293.1957205170193,8.316474521125516,3.372503003702729,4.429185869397152,2.097644576031764,690.7677318699097,3.5686728385425397,1.6843079493477124,2.797264562342461,1.5740649048011484,1242.2765254343603,10.979877568704243,2.881390780587494,4.666723110039541,2.0424751138840604,2870.358215673095,15.491694521788732,4.608261905925933,5.941132826318128,2.439463751860438,687.808610512397,7.943851265859141,3.6378290491231686,5.071803985669014,2.1079801227433803,967.5257503886373,10.215931529005719,4.919115891560249,5.536911033204024,2.212454220364842,3
826.5145204985998,12.363471828125917,3.9608014232362057,4.477310832474774,2.152345690926439,986.902549773249,8.398158625868579,3.3963604258114297,4.544573801990185,2.1237459860401304,617.3890378486145,3.6718594719238666,1.9200497684522793,3.145017846530784,1.9003333380619856,992.7270703814598,11.507192215840613,3.62558124324996,4.70628787795842,2.1288602685515965,2325.7130861770806,17.90600937116251,4.82643922995072,6.2197670261756555,2.4479503487057737,489.2371905678264,7.9288568737038325,3.5033294338737013,5.19838411185314,2.3378107715060144,885.4773415195906,12.118955718894634,6.434542993278209,9.852648711916178,2.5668066539242456,3
1214.935589513727,11.187271501648661,3.6325188935832395,5.157903209228426,2.666392979990556,1235.6630413693072,8.076149018318546,3.4094162845503826,5.592294308189778,2.9159873327946877,740.8917361164366,3.862752066919003,1.8392474519043447,6.773117152642757,4.285554486308579,1011.4626601064812,10.181083052857911,3.43944875444587,5.1910673965554475,2.6901998099693007,3472.4328412422815,17.310087684481633,4.91607065713868,6.859299884821316,3.367463156131485,542.1315555554397,8.099762950908266,4.103793422545594,11.717264541033828,6.979128492278558,1018.3101142375119,20.457119939829948,15.056082587666616,11.77392367195331,3.088804305880965,3
286.58995073908613,12.605852458118065,4.0485284084807756,5.362822348569099,2.1138771520423836,444.70386908545805,9.138398686013048,3.9211161602236517,4.808576408688554,2.05149276654437,411.5711888050319,8.936895587097572,2.6499089183292566,3.6622916064710473,1.9401267481193638,719.2415303995681,15.087166556715705,4.751267986887309,6.922516953150095,2.7978325937347353,1038.6985675765047,16.373874613555337,4.974142969709579,7.649250534686717,2.850430858504574,389.71159419109773,8.042355984659439,4.140067244571508,6.101412717241968,2.5606732660272735,235.2205884811277,8.782359402425092,5.8263267159445595,7.021662354287116,2.760411427607324,1
