delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
187.4348237,30.94975393,15.04622994,20.92172547,10.61342005,83.80344762,14.55565678,6.712705704,31.84141362,19.31598845,407.7930562,66.90753458,12.81660185,15.2807265,7.021065256,179.8491026,29.55417207,7.098613563,16.24757109,9.353764853,184.7668686,20.97575036,8.632049081,27.04282581,13.77873506,33.33482316,6.851217186,4.82189087,13.5016377,8.611673237,236.3987586,17.10114465,7.540993158,18.19951319,10.95167411,307.8825828,51.86845295,23.88646255,31.2738467,9.225585498,21.76457424,4.915673347,5.45247787,9.104317499,4.928583468,43.91846407,9.333581768,6.417672908,21.03891022,11.50975721,133.4161589,20.28731062,7.620192345,26.31188998,17.73650698,1004.161071,228.7708858,23.10154271,28.68701851,8.888753608,147.0048457,9.459551665,5.257749145,34.06599955,30.89635916,86.26972802,20.826826,7.73056743,15.57994954,7.886538386,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660.2424772,58.98324228,23.081958,25.90780733,11.39154352,512.8264294,33.60326717,10.66907934,22.86436804,14.69994082,1425.798685,104.7398364,18.76024978,24.44626783,13.07891253,1426.499636,73.87026926,18.20917512,25.0728172,17.00156503,598.1214036,33.26290077,11.84562833,51.94201931,36.9409816,290.0474832,13.80987936,6.572633267,16.85637509,10.10457288,385.7545652,25.09043951,9.676900843,19.00425067,10.46646803,289.9351395,19.58463399,8.876115213,18.34986311,9.384580624,163.9909223,12.0676844,5.519739325,13.18676004,7.288619347,419.2352413,23.72732435,10.81367002,59.34297388,36.99338568,1137.545208,63.61234187,15.53800966,27.26920571,21.91362251,2984.792521,286.2615184,60.56819228,45.54506815,15.4673639,306.4782997,18.35841375,6.187049925,15.79808172,11.89210588,450.8366562,38.89433846,11.21890369,20.72945795,10.45572946,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370.3946072,58.80392758,20.72160533,28.36204771,14.15843829,219.9379055,24.91156194,10.12737543,39.25307063,33.16990592,647.563056,109.9453874,20.67587046,16.17037626,8.297951854,270.2054196,44.15976859,12.19162357,19.08877733,10.76117524,12398.1929,297.1960958,61.09458215,81.61863518,39.68187032,48.53357332,7.33886157,4.85606471,11.09080929,5.436765584,169.4371923,15.69968851,9.272314511,25.90317196,20.01191517,50.79593144,10.73058279,11.31362639,15.68645924,6.565788284,26.69763129,5.355313956,6.615301884,10.33530376,4.725533932,48.33705458,10.46987628,10.04198047,66.97138201,37.71851417,164.4623294,23.68899294,12.26884803,33.72250514,29.47192269,4089.825421,271.4830775,63.32320013,53.99576532,18.67135509,128.8995092,10.64913374,9.455961212,120.6615605,148.4065694,118.1874803,26.87434146,12.74926714,31.81194218,24.50034137,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363.5393106,36.19564465,11.21484021,25.35301265,14.88947372,421.4129606,27.98852653,10.252544,44.53404726,41.34288731,1734.022907,129.9715706,17.06032574,17.12809974,7.624385272,539.1281792,52.91429637,9.862852125,17.67763032,11.64022263,413.993236,17.12006838,9.96657982,48.93815623,33.38841087,63.20107023,9.593490054,4.951292916,9.883731924,5.490250152,275.2134143,17.57583242,10.14594142,28.10390405,22.45099238,53.32399169,13.18651923,7.155979461,13.85849158,7.131437072,30.43668279,6.130906597,4.773027769,10.03325444,5.018510233,50.3472645,11.11669855,8.360309279,62.9872164,43.73491073,256.9169831,20.16525521,8.701128712,27.46793907,21.9106489,3523.906911,187.6952605,37.11202064,38.57737533,15.6277851,91.75808147,10.51024865,7.339105067,102.7262207,137.4074837,288.2013539,29.50981546,10.37037873,25.60744269,20.98347648,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533.6473074,65.39786827,23.93848676,32.18711429,15.21447053,76.40542104,15.31523133,9.616589452,44.19281347,36.49996405,329.8012955,63.92531399,19.25701727,15.90921807,8.175326987,157.0322583,29.48512868,10.1134588,18.64537668,12.72926262,44622.97136,501.584526,138.720372,156.6303559,38.33200945,95.87538902,7.643435897,5.569132682,10.40202239,6.222476344,6003.45805,362.0871226,124.805681,136.1017571,41.03197396,42.33596765,13.72498763,12.86551977,14.35693427,7.259530075,24.87942941,7.094432595,8.951115844,11.00866663,5.801772314,39.41537521,11.07357163,10.91924138,67.7815364,38.69971858,93.59845908,18.33590529,9.984808686,31.27920487,26.19160552,348.1988697,55.93806993,19.52906024,23.55989477,16.43507497,34.52594513,9.358175925,8.742771287,110.2567369,135.054006,73.03889571,23.72060163,15.15440581,25.63538361,23.90988404,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
